x,U_ML_full_LU,U_exact
-2.67546,1.41062e-27,4.48273e-80
-2.6438,3.35022e-27,3.04155e-78
-2.61214,7.94823e-27,1.96315e-76
-2.58047,1.8836e-26,1.20536e-74
-2.54881,4.45878e-26,7.04029e-73
-2.51715,1.05425e-25,3.91177e-71
-2.48549,2.48976e-25,2.0676e-69
-2.45383,5.87284e-25,1.03961e-67
-2.42216,1.38357e-24,4.97269e-66
-2.3905,3.25542e-24,2.26269e-64
-2.35884,7.64979e-24,9.79436e-63
-2.32718,1.79521e-23,4.03315e-61
-2.29551,4.20719e-23,1.57991e-59
-2.26385,9.84607e-23,5.88766e-58
-2.23219,2.30098e-22,2.08726e-56
-2.20053,5.36943e-22,7.03937e-55
-2.16887,1.25109e-21,2.25849e-53
-2.1372,2.9106e-21,6.89337e-52
-2.10554,6.76062e-21,2.00159e-50
-2.07388,1.56778e-20,5.52907e-49
-2.04222,3.62959e-20,1.453e-47
-2.01055,8.38851e-20,3.63257e-46
-1.97889,1.93529e-19,8.63979e-45
-1.94723,4.45676e-19,1.95494e-43
-1.91557,1.02443e-18,4.20834e-42
-1.88391,2.35022e-18,8.61855e-41
-1.85224,5.38117e-18,1.67922e-39
-1.82058,1.22959e-17,3.11269e-38
-1.78892,2.80368e-17,5.48933e-37
-1.75726,6.37908e-17,9.21007e-36
-1.72559,1.44816e-16,1.47018e-34
-1.69393,3.28e-16,2.23276e-33
-1.66227,7.41135e-16,3.22616e-32
-1.63061,1.67052e-15,4.43509e-31
-1.59894,3.7558e-15,5.80094e-30
-1.56728,8.42192e-15,7.21899e-29
-1.53562,1.88338e-14,8.54755e-28
-1.50396,4.19991e-14,9.62939e-27
-1.4723,9.33846e-14,1.03217e-25
-1.44063,2.07012e-13,1.05271e-24
-1.40897,4.5746e-13,1.02158e-23
-1.37731,1.00762e-12,9.433e-23
-1.34565,2.21192e-12,8.28794e-22
-1.31398,4.83853e-12,6.929e-21
-1.28232,1.05455e-11,5.51223e-20
-1.25066,2.28965e-11,4.17278e-19
-1.219,4.95161e-11,3.00588e-18
-1.18734,1.06641e-10,2.06051e-17
-1.15567,2.2868e-10,1.34414e-16
-1.12401,4.88171e-10,8.3443e-16
-1.09235,1.03721e-09,4.9297e-15
-1.06069,2.19288e-09,2.77171e-14
-1.02902,4.6123e-09,1.48314e-13
-0.997361,9.6486e-09,7.55331e-13
-0.965699,2.00695e-08,3.66122e-12
-0.934037,4.14963e-08,1.68913e-11
-0.902375,8.52599e-08,7.41759e-11
-0.870712,1.74019e-07,3.10058e-10
