t,e_max
0.304421,0.00130709
0.304447,0.00130703
0.304473,0.00130698
0.304498,0.00130692
0.304524,0.00130687
0.304549,0.00130681
0.304575,0.00130676
0.304601,0.0013067
0.304626,0.00130665
0.304652,0.00130659
0.304677,0.00130654
0.304703,0.00130648
0.304729,0.00130643
0.304754,0.00130637
0.30478,0.00130632
0.304806,0.00130626
0.304831,0.00130621
0.304857,0.00130615
0.304882,0.0013061
0.304908,0.00130604
0.304934,0.00130599
0.304959,0.00130593
0.304985,0.00130588
0.305011,0.00130582
0.305036,0.00130577
0.305062,0.00130571
0.305087,0.00130566
0.305113,0.0013056
0.305139,0.00130555
0.305164,0.00130549
0.30519,0.00130544
0.305215,0.00130538
0.305241,0.00130533
0.305267,0.00130527
0.305292,0.00130522
0.305318,0.00130516
0.305344,0.00130511
0.305369,0.00130505
0.305395,0.001305
0.30542,0.00130495
0.305446,0.00130489
0.305472,0.00130484
0.305497,0.00130478
0.305523,0.00130473
0.305548,0.00130467
0.305574,0.00130462
0.3056,0.00130456
0.305625,0.00130451
0.305651,0.00130445
0.305677,0.0013044
0.305702,0.00130434
0.305728,0.00130429
0.305753,0.00130423
0.305779,0.00130418
0.305805,0.00130412
0.30583,0.00130407
0.305856,0.00130401
0.305881,0.00130396
0.305907,0.0013039
0.305933,0.00130385
0.305958,0.00130379
0.305984,0.00130374
0.30601,0.00130369
0.306035,0.00130363
0.306061,0.00130358
0.306086,0.00130352
0.306112,0.00130347
0.306138,0.00130341
0.306163,0.00130336
0.306189,0.0013033
0.306214,0.00130325
0.30624,0.00130319
0.306266,0.00130314
0.306291,0.00130308
0.306317,0.00130303
0.306343,0.00130297
0.306368,0.00130292
0.306394,0.00130287
0.306419,0.00130281
0.306445,0.00130276
0.306471,0.0013027
0.306496,0.00130265
0.306522,0.00130259
0.306547,0.00130254
0.306573,0.00130248
0.306599,0.00130243
0.306624,0.00130237
0.30665,0.00130232
0.306676,0.00130227
0.306701,0.00130221
0.306727,0.00130216
0.306752,0.0013021
0.306778,0.00130205
0.306804,0.00130199
0.306829,0.00130194
0.306855,0.00130188
0.30688,0.00130183
0.306906,0.00130177
0.306932,0.00130172
0.306957,0.00130167
0.306983,0.00130161
0.307009,0.00130156
0.307034,0.0013015
0.30706,0.00130145
0.307085,0.00130139
0.307111,0.00130134
0.307137,0.00130128
0.307162,0.00130123
0.307188,0.00130118
0.307213,0.00130112
0.307239,0.00130107
0.307265,0.00130101
0.30729,0.00130096
0.307316,0.0013009
0.307342,0.00130085
0.307367,0.0013008
0.307393,0.00130074
0.307418,0.00130069
0.307444,0.00130063
0.30747,0.00130058
0.307495,0.00130052
0.307521,0.00130047
0.307546,0.00130042
0.307572,0.00130036
0.307598,0.00130031
0.307623,0.00130025
0.307649,0.0013002
0.307675,0.00130014
0.3077,0.00130009
0.307726,0.00130004
0.307751,0.00129998
0.307777,0.00129993
0.307803,0.00129987
0.307828,0.00129982
0.307854,0.00129976
0.30788,0.00129971
0.307905,0.00129966
0.307931,0.0012996
0.307956,0.00129955
0.307982,0.00129949
0.308008,0.00129944
0.308033,0.00129938
0.308059,0.00129933
0.308084,0.00129928
